trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
48,False,"{'a': 0.02, 'e': 0.8461910448161652}",35,0,-82.98749746089928,"{0: 19, 1: 10, 2: 6, 3: 0, 4: 0}",0
49,False,"{'a': 0.02, 'e': 0.8367365573143366}",35,0,-78.86875411794321,"{0: 23, 1: 3, 2: 9, 3: 0, 4: 0}",0
50,False,"{'a': 0.02, 'e': 0.8270258257814919}",25,0,-33.96240910047886,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.02, 'e': 0.8199343491075949}",25,0,-196.16843356939455,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
52,False,"{'a': 0.02, 'e': 0.812714759359802}",25,0,-82.16405945065947,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
53,False,"{'a': 0.02, 'e': 0.8053681845843228}",20,10,0.5797474726296623,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.02, 'e': 0.8023942553305645}",20,0,-56.565235034039716,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
55,False,"{'a': 0.02, 'e': 0.796386292228843}",25,12,-79.54522268645188,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 1}",1
56,False,"{'a': 0.02, 'e': 0.7924383724359255}",25,0,-95.59506462994,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
57,False,"{'a': 0.02, 'e': 0.7847522627128908}",25,0,-60.7238449652172,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
58,False,"{'a': 0.02, 'e': 0.7769435370453813}",25,0,-215.1668146226078,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
59,False,"{'a': 0.02, 'e': 0.769013415530896}",20,8,-22.1796434528123,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
60,False,"{'a': 0.02, 'e': 0.7651642005094147}",30,0,-80.96699490375718,"{0: 21, 1: 1, 2: 6, 3: 2, 4: 0}",0
61,False,"{'a': 0.02, 'e': 0.7554209555195895}",20,5,-82.58174166239851,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 1}",1
62,False,"{'a': 0.02, 'e': 0.7504854570651743}",20,12,-18.59482284680354,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
63,False,"{'a': 0.02, 'e': 0.7478359123843445}",25,11,-23.320197640630163,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
64,False,"{'a': 0.02, 'e': 0.7431704431584757}",20,0,-54.25052185695802,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
65,False,"{'a': 0.02, 'e': 0.7364423749229758}",20,0,-35.70419919387023,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
66,False,"{'a': 0.02, 'e': 0.7296406630636835}",20,0,-94.76114194734933,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
67,False,"{'a': 0.02, 'e': 0.7227659877461166}",20,11,-6.014978451301726,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.02, 'e': 0.719648762424986}",20,2,-58.65164159435984,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
69,False,"{'a': 0.02, 'e': 0.7133706566129892}",20,0,-106.55760042505464,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
70,False,"{'a': 0.02, 'e': 0.7063272359814773}",20,9,-54.65715665440505,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
71,False,"{'a': 0.02, 'e': 0.7024232023643763}",20,0,-61.85754644603627,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.02, 'e': 0.6952706047088867}",20,0,-24.239564466258642,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
73,False,"{'a': 0.02, 'e': 0.6880484805723165}",20,0,-2.386727334347083,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.02, 'e': 0.6807575521610608}",25,0,-34.87652200642129,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
75,False,"{'a': 0.02, 'e': 0.6715482470030537}",35,27,2.974640820061162,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.02, 'e': 0.6685790392068645}",25,0,-144.6109456399024,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
77,False,"{'a': 0.02, 'e': 0.6592315356135099}",25,0,-71.15967201766837,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
78,False,"{'a': 0.02, 'e': 0.6497810284339186}",25,0,-75.26601652726906,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
79,False,"{'a': 0.02, 'e': 0.6402289942906106}",30,0,-52.050633139032605,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
80,False,"{'a': 0.02, 'e': 0.628634640249695}",20,0,-24.66880575434271,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.02, 'e': 0.6208263306866332}",30,4,-39.2416671546464,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 0}",1
82,False,"{'a': 0.02, 'e': 0.6105828329919689}",25,1,-139.99915204036955,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 3}",1
83,False,"{'a': 0.02, 'e': 0.6010356708347461}",20,0,-14.71908771625009,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.02, 'e': 0.5930135305208633}",20,0,-103.86158943507996,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
85,False,"{'a': 0.02, 'e': 0.5849320893481047}",25,18,2.830924507126758,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.02, 'e': 0.5820897244889474}",30,6,-36.863280292566174,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 0}",1
87,False,"{'a': 0.02, 'e': 0.572290553970937}",25,15,-38.76036800990725,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 1}",1
88,False,"{'a': 0.02, 'e': 0.5681831628064529}",20,0,-72.64164293920604,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
89,False,"{'a': 0.02, 'e': 0.5599258698687309}",20,10,19.568072189190005,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.02, 'e': 0.5557761745273864}",25,7,-47.224602912704825,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 0}",1
91,False,"{'a': 0.02, 'e': 0.5482717790234733}",25,0,-61.27983528365926,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
92,False,"{'a': 0.02, 'e': 0.5377754653417808}",20,1,-41.69311531014221,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
93,False,"{'a': 0.02, 'e': 0.5297419819042124}",25,6,1.2970033125230473,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
94,False,"{'a': 0.02, 'e': 0.521660689612341}",25,8,-7.209044147360314,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
95,False,"{'a': 0.02, 'e': 0.5143901311408672}",25,7,12.37414785691128,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.02, 'e': 0.5066513960509024}",25,0,-31.080034313385166,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
97,False,"{'a': 0.02, 'e': 0.49583520745533893}",20,10,-30.126862448169852,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.02, 'e': 0.49148694445924623}",35,5,-6.035380911137269,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",1
99,False,"{'a': 0.02, 'e': 0.47836886894144715}",25,12,-6.930360279310365,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
100,False,"{'a': 0.02, 'e': 0.472650770143656}",25,15,-36.03941308001002,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.02, 'e': 0.4682386312686787}",25,0,-32.79227269082236,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
102,False,"{'a': 0.02, 'e': 0.45715731259548575}",30,12,11.082926618586601,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.02, 'e': 0.4491344332523616}",20,0,-27.21525385658182,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
104,False,"{'a': 0.02, 'e': 0.440177483716293}",20,0,-33.48210760038004,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
105,False,"{'a': 0.02, 'e': 0.4311765167986662}",20,8,6.014851705504019,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.02, 'e': 0.42575518256162764}",35,12,-50.42576532763973,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 1}",1
107,False,"{'a': 0.02, 'e': 0.41532161760215547}",20,0,-65.55273026867587,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
108,False,"{'a': 0.02, 'e': 0.4062042568879067}",25,10,13.703963786992267,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.02, 'e': 0.3993395294062732}",30,8,6.078586394841647,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.02, 'e': 0.3892307387881266}",20,0,-92.50460687131375,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
111,False,"{'a': 0.02, 'e': 0.3800000280461784}",20,2,-12.247787348440923,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.02, 'e': 0.371659872260533}",20,10,10.521157536771037,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.02, 'e': 0.3670134010265584}",20,0,-44.56120376297182,"{0: 16, 1: 1, 2: 0, 3: 3, 4: 0}",1
114,False,"{'a': 0.02, 'e': 0.3576930490017995}",20,13,14.868678403104758,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.02, 'e': 0.35442242754862446}",20,7,-23.756892816588003,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.02, 'e': 0.348336927970217}",20,6,-7.392441538196453,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
